NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000111328	1	4.069903373718262	0.034882665	Yes	
row_1	ENSG00000155330	11	3.301220178604126	0.062811315	Yes	
row_2	ENSG00000168014	16	3.0650360584259033	0.08893637	Yes	
row_3	ENSG00000227105	17	3.0507287979125977	0.11511729	Yes	
row_4	ENSG00000196154	31	2.8492348194122314	0.13898842	Yes	
row_5	ENSG00000241878	39	2.750849485397339	0.1622832	Yes	
row_6	ENSG00000120129	43	2.7064638137817383	0.18537569	Yes	
row_7	ENSG00000107796	46	2.685826539993286	0.20833576	Yes	
row_8	ENSG00000020577	70	2.52390193939209	0.22896832	Yes	
row_9	ENSG00000143799	79	2.4533531665802	0.24966536	Yes	
row_10	ENSG00000091137	101	2.368354082107544	0.26905236	Yes	
row_11	ENSG00000168386	137	2.2369441986083984	0.28668636	Yes	
row_12	ENSG00000182836	166	2.1610469818115234	0.30398166	Yes	
row_13	ENSG00000138685	179	2.1245667934417725	0.32167846	Yes	
row_14	ENSG00000143153	190	2.1046693325042725	0.3392938	Yes	
row_15	ENSG00000069849	323	1.882612943649292	0.3495549	Yes	
row_16	ENSG00000111907	335	1.8711234331130981	0.36512136	Yes	
row_17	ENSG00000181264	368	1.8312877416610718	0.37940806	Yes	
row_18	ENSG00000101335	411	1.785697340965271	0.3928569	Yes	
row_19	ENSG00000198959	525	1.6975488662719727	0.40237835	Yes	
row_20	ENSG00000111799	570	1.6594301462173462	0.41465425	Yes	
row_21	ENSG00000243649	605	1.6270829439163208	0.4270992	Yes	
row_22	ENSG00000148795	644	1.5995004177093506	0.43912876	Yes	
row_23	ENSG00000092020	673	1.5803298950195312	0.45144042	Yes	
row_24	ENSG00000233705	674	1.5803087949752808	0.46500242	Yes	
row_25	ENSG00000149968	682	1.5765831470489502	0.4782198	Yes	
row_26	ENSG00000092969	800	1.5113706588745117	0.48596483	Yes	
row_27	ENSG00000252666	834	1.4866245985031128	0.49724904	Yes	
row_28	ENSG00000189060	924	1.4427142143249512	0.5056554	Yes	
row_29	ENSG00000133639	1003	1.41133713722229	0.5142837	Yes	
row_30	ENSG00000163631	1060	1.3846598863601685	0.52366567	Yes	
row_31	ENSG00000066468	1075	1.3765591382980347	0.5348539	Yes	
row_32	ENSG00000164597	1277	1.2934389114379883	0.5369772	Yes	
row_33	ENSG00000102547	1355	1.2648729085922241	0.54439324	Yes	
row_34	ENSG00000243927	1363	1.2603850364685059	0.55489707	Yes	
row_35	ENSG00000100906	1395	1.247143268585205	0.56421536	Yes	
row_36	ENSG00000137331	1640	1.1801118850708008	0.5634457	Yes	
row_37	ENSG00000115461	1886	1.1153404712677002	0.5620755	Yes	
row_38	ENSG00000075539	2006	1.0876529216766357	0.56609493	Yes	
row_39	ENSG00000169213	2011	1.0866739749908447	0.575242	Yes	
row_40	ENSG00000138772	2026	1.0827034711837769	0.5839083	Yes	
row_41	ENSG00000107518	2039	1.0792256593704224	0.59263414	Yes	
row_42	ENSG00000124177	2074	1.071224570274353	0.6003088	Yes	
row_43	ENSG00000072110	2130	1.0596143007278442	0.6069459	Yes	
row_44	ENSG00000123200	2167	1.0523887872695923	0.6143696	Yes	
row_45	ENSG00000146376	2205	1.0425368547439575	0.621664	Yes	
row_46	ENSG00000120217	2386	1.0057995319366455	0.6222567	Yes	
row_47	ENSG00000115419	2442	0.9959396719932556	0.62834734	Yes	
row_48	ENSG00000117632	2647	0.9541351199150085	0.6274248	Yes	
row_49	ENSG00000168542	2663	0.9498737454414368	0.6349066	Yes	
row_50	ENSG00000106351	2683	0.9466180205345154	0.64218175	Yes	
row_51	ENSG00000145244	2735	0.9349825978279114	0.64792794	Yes	
row_52	ENSG00000087053	2789	0.9222825765609741	0.6534758	Yes	
row_53	ENSG00000189221	2853	0.9118843674659729	0.65848786	Yes	
row_54	ENSG00000184292	3309	0.8311257362365723	0.6452998	Yes	
row_55	ENSG00000105655	3444	0.8098719716072083	0.64626545	Yes	
row_56	ENSG00000075790	3610	0.7836255431175232	0.64562136	Yes	
