NAME	TITLE	SCORE	
ENSG00000103335		4.296415	
ENSG00000111328		4.0699034	
ENSG00000150990		3.9680958	
ENSG00000050820		3.8994691	
ENSG00000184470		3.749089	
ENSG00000227827		3.6723151	
ENSG00000196497		3.6585608	
ENSG00000074219		3.5351546	
ENSG00000172757		3.4248607	
ENSG00000142627		3.371131	
ENSG00000169228		3.3324666	
ENSG00000155330		3.3012202	
ENSG00000148484		3.2717752	
ENSG00000167642		3.2654302	
ENSG00000130706		3.188573	
ENSG00000136146		3.1534045	
ENSG00000168014		3.065036	
ENSG00000227105		3.0507288	
ENSG00000214391		3.0497706	
ENSG00000132357		3.041429	
ENSG00000140859		3.034546	
ENSG00000125731		3.0256064	
ENSG00000177548		2.999525	
ENSG00000143867		2.9935277	
ENSG00000063854		2.9727533	
ENSG00000138107		2.9460425	
ENSG00000161999		2.9115624	
ENSG00000107438		2.882791	
ENSG00000125898		2.8624454	
ENSG00000187778		2.8571067	
ENSG00000105204		2.8496974	
ENSG00000196154		2.8492348	
ENSG00000135447		2.840065	
ENSG00000159842		2.8369715	
ENSG00000213977		2.8113766	
ENSG00000140943		2.8087587	
ENSG00000166313		2.8004906	
ENSG00000167767		2.7760146	
ENSG00000196604		2.7512383	
ENSG00000241878		2.7508495	
ENSG00000169221		2.7384968	
ENSG00000123009		2.7106907	
ENSG00000134905		2.7065017	
ENSG00000120129		2.7064638	
ENSG00000165802		2.7042794	
ENSG00000157551		2.6905065	
ENSG00000107796		2.6858265	
ENSG00000100345		2.6731946	
ENSG00000032444		2.6725757	
ENSG00000107833		2.667177	
ENSG00000127589		2.6353798	
ENSG00000101187		2.6181173	
ENSG00000175029		2.611426	
ENSG00000100504		2.6105628	
ENSG00000155229		2.603323	
ENSG00000167526		2.600862	
ENSG00000142227		2.5988858	
ENSG00000167657		2.5928931	
ENSG00000037042		2.5809517	
ENSG00000085063		2.5808127	
ENSG00000171219		2.5802975	
ENSG00000198150		2.5750625	
ENSG00000196230		2.5742488	
ENSG00000109736		2.5670447	
ENSG00000151366		2.5601082	
ENSG00000076201		2.5482721	
ENSG00000063244		2.547114	
ENSG00000003249		2.5415802	
ENSG00000104881		2.5397015	
ENSG00000172009		2.525067	
ENSG00000020577		2.523902	
ENSG00000235486		2.5067127	
ENSG00000178935		2.5043232	
ENSG00000106686		2.5034766	
ENSG00000106868		2.495768	
ENSG00000142871		2.480961	
ENSG00000123064		2.476041	
ENSG00000125753		2.4621253	
ENSG00000196924		2.4597464	
ENSG00000143799		2.4533532	
ENSG00000108590		2.4530115	
ENSG00000163273		2.4526212	
ENSG00000159251		2.445962	
ENSG00000103227		2.4446223	
ENSG00000076706		2.433149	
ENSG00000205271		2.423829	
ENSG00000184886		2.4215484	
ENSG00000256890		2.4178817	
ENSG00000157045		2.4178154	
ENSG00000169972		2.4163465	
ENSG00000173156		2.4107554	
ENSG00000115307		2.4078252	
ENSG00000159063		2.4008667	
ENSG00000070047		2.399012	
ENSG00000125746		2.3982675	
ENSG00000237149		2.3952591	
ENSG00000109113		2.3807492	
ENSG00000168096		2.3730178	
ENSG00000095739		2.3729494	
ENSG00000198517		2.3729475	
ENSG00000245534		2.3684235	
ENSG00000091137		2.368354	
ENSG00000173801		2.3662877	
ENSG00000148120		2.365049	
ENSG00000168028		2.364858	
ENSG00000128245		2.3556805	
ENSG00000139645		2.3484972	
ENSG00000176396		2.3484652	
ENSG00000213493		2.3482258	
ENSG00000220614		2.3463974	
ENSG00000141522		2.3431773	
ENSG00000120694		2.3399816	
ENSG00000142409		2.3351085	
ENSG00000165458		2.3310933	
ENSG00000140564		2.3290179	
ENSG00000104731		2.328447	
ENSG00000135480		2.3220353	
ENSG00000157303		2.3132656	
ENSG00000256312		2.3029425	
ENSG00000038382		2.3003366	
ENSG00000023191		2.297319	
ENSG00000103363		2.294557	
ENSG00000126456		2.2943153	
ENSG00000188243		2.2930157	
ENSG00000164855		2.285064	
ENSG00000170175		2.2843475	
ENSG00000011485		2.2806993	
ENSG00000234287		2.271683	
ENSG00000187838		2.2612278	
ENSG00000161647		2.2593486	
ENSG00000070540		2.2531867	
ENSG00000188603		2.253184	
ENSG00000256487		2.2499533	
ENSG00000181929		2.2491562	
ENSG00000160991		2.2464502	
ENSG00000149136		2.240653	
ENSG00000129116		2.2399783	
ENSG00000168386		2.2369442	
ENSG00000177963		2.2367423	
ENSG00000160948		2.2301145	
ENSG00000135916		2.229857	
ENSG00000254986		2.2194996	
ENSG00000215325		2.2148604	
ENSG00000067829		2.2125351	
ENSG00000229689		2.211132	
ENSG00000127666		2.2105725	
ENSG00000233771		2.2102652	
ENSG00000106366		2.2095535	
ENSG00000213087		2.209273	
ENSG00000006744		2.2074277	
ENSG00000229596		2.2045114	
ENSG00000129474		2.2017944	
ENSG00000187939		2.1936352	
ENSG00000008517		2.1918445	
ENSG00000104835		2.1916986	
ENSG00000204394		2.1911252	
ENSG00000167460		2.1898987	
ENSG00000133488		2.185151	
ENSG00000088992		2.1829078	
ENSG00000231995		2.1823754	
ENSG00000106608		2.1801322	
ENSG00000243910		2.1766195	
ENSG00000140988		2.173359	
ENSG00000204842		2.1706142	
ENSG00000104888		2.164809	
ENSG00000148690		2.164018	
ENSG00000182836		2.161047	
ENSG00000185324		2.1583083	
ENSG00000171222		2.1574388	
ENSG00000135090		2.1560469	
ENSG00000197385		2.1491919	
ENSG00000105372		2.1487308	
ENSG00000223496		2.1450236	
ENSG00000188229		2.1442375	
ENSG00000253676		2.1421578	
ENSG00000240950		2.1404376	
ENSG00000141933		2.1362774	
ENSG00000213722		2.125757	
ENSG00000100097		2.1247234	
ENSG00000138685		2.1245668	
ENSG00000139625		2.12294	
ENSG00000180198		2.1211042	
ENSG00000183648		2.1204515	
ENSG00000100911		2.1175766	
ENSG00000125651		2.116518	
ENSG00000089154		2.116466	
ENSG00000159335		2.1152356	
ENSG00000106991		2.1115954	
ENSG00000106992		2.110148	
ENSG00000171307		2.1067889	
ENSG00000143153		2.1046693	
ENSG00000183684		2.104516	
ENSG00000247596		2.1032336	
ENSG00000242114		2.1020916	
ENSG00000125505		2.0921915	
ENSG00000162909		2.0912983	
ENSG00000186395		2.090416	
ENSG00000240087		2.0903552	
ENSG00000233493		2.0895474	
ENSG00000159231		2.089388	
ENSG00000061273		2.0880463	
ENSG00000108651		2.0830367	
ENSG00000104957		2.0821953	
ENSG00000176970		2.0799866	
ENSG00000188293		2.0784698	
ENSG00000233927		2.0782464	
ENSG00000187555		2.0748248	
ENSG00000236423		2.0732074	
ENSG00000137486		2.0722947	
ENSG00000128591		2.0700927	
ENSG00000142910		2.0681908	
ENSG00000138119		2.0680132	
ENSG00000100139		2.0678787	
ENSG00000139436		2.0672474	
ENSG00000204435		2.0655873	
ENSG00000127511		2.0655825	
ENSG00000220248		2.0640752	
ENSG00000175220		2.0617585	
ENSG00000228695		2.0590014	
ENSG00000166166		2.0571015	
ENSG00000197119		2.054307	
ENSG00000205250		2.049616	
ENSG00000106211		2.048487	
ENSG00000110497		2.0459929	
ENSG00000118162		2.0451553	
ENSG00000237176		2.0443125	
ENSG00000142694		2.0418913	
ENSG00000181588		2.039671	
ENSG00000242125		2.0396228	
ENSG00000105726		2.0381627	
ENSG00000120832		2.0365717	
ENSG00000152465		2.0357325	
ENSG00000173868		2.0341332	
ENSG00000161091		2.0308757	
ENSG00000129925		2.030609	
ENSG00000160953		2.0290067	
ENSG00000143294		2.0273952	
ENSG00000185989		2.024691	
ENSG00000133316		2.0234418	
ENSG00000213763		2.0212255	
ENSG00000175166		2.019369	
ENSG00000100284		2.0181644	
ENSG00000143786		2.0114467	
ENSG00000228696		2.0042906	
ENSG00000228502		2.003899	
ENSG00000118898		2.0014668	
ENSG00000130176		1.9998069	
ENSG00000256602		1.9996358	
ENSG00000182484		1.9979429	
ENSG00000105258		1.9962598	
ENSG00000099364		1.9949071	
ENSG00000116661		1.9944729	
ENSG00000071127		1.990982	
ENSG00000122873		1.9908295	
ENSG00000111144		1.9869756	
ENSG00000105202		1.9837105	
ENSG00000100225		1.9828274	
ENSG00000175662		1.9783905	
ENSG00000141741		1.9750162	
ENSG00000165804		1.974221	
ENSG00000184916		1.9738901	
ENSG00000150722		1.9737544	
ENSG00000172725		1.9727424	
ENSG00000231443		1.9723831	
ENSG00000132153		1.9693354	
ENSG00000005001		1.9670422	
ENSG00000168734		1.9657544	
ENSG00000163468		1.9654523	
ENSG00000185825		1.9648846	
ENSG00000107874		1.9643307	
ENSG00000150687		1.9617188	
ENSG00000214087		1.9615197	
ENSG00000077235		1.9610047	
ENSG00000173013		1.9582936	
ENSG00000088808		1.9574571	
ENSG00000116675		1.9560125	
ENSG00000254023		1.9525917	
ENSG00000135046		1.9525092	
ENSG00000206053		1.9496913	
ENSG00000124074		1.9423239	
ENSG00000225923		1.9403638	
ENSG00000163116		1.938667	
ENSG00000088387		1.9350392	
ENSG00000123689		1.9347548	
ENSG00000122035		1.9320203	
ENSG00000213754		1.9311806	
ENSG00000063601		1.9306504	
ENSG00000065518		1.9301662	
ENSG00000249034		1.9290061	
ENSG00000006327		1.9280609	
ENSG00000107960		1.9274782	
ENSG00000111639		1.9257143	
ENSG00000071626		1.9252182	
ENSG00000131165		1.9251566	
ENSG00000164850		1.9251287	
ENSG00000108774		1.9218005	
ENSG00000223908		1.9182975	
ENSG00000074319		1.9165056	
ENSG00000167552		1.9154307	
ENSG00000223922		1.9130551	
ENSG00000227368		1.9120218	
ENSG00000117602		1.9117397	
ENSG00000116133		1.9113811	
ENSG00000140416		1.9109074	
ENSG00000181404		1.9105215	
ENSG00000129521		1.908794	
ENSG00000166317		1.9025738	
ENSG00000244009		1.8989455	
ENSG00000105722		1.8984735	
ENSG00000169567		1.897337	
ENSG00000105127		1.896982	
ENSG00000138434		1.8966663	
ENSG00000138495		1.8962163	
ENSG00000231445		1.8944281	
ENSG00000102362		1.891946	
ENSG00000076604		1.8899348	
ENSG00000011422		1.8896697	
