NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000132746	2425	0.9983633160591125	-0.099301346	No	
row_1	ENSG00000105518	3568	0.7897804379463196	-0.14318343	No	
row_2	ENSG00000119242	4890	0.6128755211830139	-0.19665475	No	
row_3	ENSG00000167703	5078	0.5905866622924805	-0.19968167	No	
row_4	ENSG00000166813	5751	0.5139354467391968	-0.22506016	No	
row_5	ENSG00000130222	7592	0.31805703043937683	-0.3043685	No	
row_6	ENSG00000135472	7728	0.3035826086997986	-0.30766064	No	
row_7	ENSG00000103257	8352	0.24105826020240784	-0.33331096	No	
row_8	ENSG00000186510	8359	0.24070870876312256	-0.33140874	No	
row_9	ENSG00000144485	8689	0.20952695608139038	-0.34421307	No	
row_10	ENSG00000176155	11008	-7.665038720006123E-5	-0.4477361	No	
row_11	ENSG00000167588	11011	-1.4905660646036267E-4	-0.4478241	No	
row_12	ENSG00000187840	11381	-0.034031011164188385	-0.46399713	No	
row_13	ENSG00000099864	11489	-0.043778594583272934	-0.46838114	No	
row_14	ENSG00000060656	11666	-0.059954628348350525	-0.47570089	No	
row_15	ENSG00000086967	11888	-0.08012889325618744	-0.4848485	No	
row_16	ENSG00000130881	13286	-0.2014901340007782	-0.54542303	No	
row_17	ENSG00000167608	13721	-0.24009867012500763	-0.56264114	No	
row_18	ENSG00000107331	14120	-0.27489644289016724	-0.57793766	No	
row_19	ENSG00000163931	14217	-0.2826577126979828	-0.57967675	No	
row_20	ENSG00000132205	14288	-0.2900677025318146	-0.5801878	No	
row_21	ENSG00000149809	14587	-0.31904855370521545	-0.5906202	No	
row_22	ENSG00000175356	15031	-0.36507049202919006	-0.6071135	No	
row_23	ENSG00000197976	15135	-0.37476134300231934	-0.6083348	No	
row_24	ENSG00000186868	15330	-0.3933964967727661	-0.61345214	No	
row_25	ENSG00000101204	15345	-0.39490896463394165	-0.61051697	No	
row_26	ENSG00000101638	15433	-0.4028566777706146	-0.61077034	No	
row_27	ENSG00000126950	15645	-0.426959365606308	-0.6163444	No	
row_28	ENSG00000165084	16079	-0.4723139703273773	-0.6314242	No	
row_29	ENSG00000144712	16087	-0.4731356203556061	-0.6274711	No	
row_30	ENSG00000162073	16600	-0.5291828513145447	-0.6455664	No	
row_31	ENSG00000128165	16738	-0.5425252914428711	-0.6467936	No	
row_32	ENSG00000149485	16943	-0.5683220028877258	-0.6507805	No	
row_33	ENSG00000171298	17269	-0.6061490178108215	-0.6598303	No	
row_34	ENSG00000130487	17363	-0.6177887320518494	-0.6584138	No	
row_35	ENSG00000173210	17374	-0.61970055103302	-0.65327334	No	
row_36	ENSG00000066248	17442	-0.627869725227356	-0.6506048	No	
row_37	ENSG00000145020	17619	-0.6511960625648499	-0.65259403	No	
row_38	ENSG00000109265	17906	-0.6873582601547241	-0.65916985	No	
row_39	ENSG00000182871	18216	-0.7276750206947327	-0.66640943	No	
row_40	ENSG00000131620	18382	-0.7480823397636414	-0.66703385	Yes	
row_41	ENSG00000206384	18485	-0.7622302770614624	-0.66471714	Yes	
row_42	ENSG00000159307	18601	-0.7804514765739441	-0.66281664	Yes	
row_43	ENSG00000121064	18605	-0.7810773849487305	-0.6559086	Yes	
row_44	ENSG00000219481	18606	-0.7813236713409424	-0.64886427	Yes	
row_45	ENSG00000130720	18756	-0.8018256425857544	-0.64828956	Yes	
row_46	ENSG00000156414	18872	-0.822485089302063	-0.64601016	Yes	
row_47	ENSG00000215644	18937	-0.8313474655151367	-0.64137316	Yes	
row_48	ENSG00000226608	18939	-0.8314833641052246	-0.63392127	Yes	
row_49	ENSG00000151552	18945	-0.8325908780097961	-0.62663805	Yes	
row_50	ENSG00000112294	19075	-0.8514897227287292	-0.62472236	Yes	
row_51	ENSG00000138185	19103	-0.8573216795921326	-0.6181987	Yes	
row_52	ENSG00000099875	19379	-0.9044862985610962	-0.6223257	Yes	
row_53	ENSG00000159640	19630	-0.9482983350753784	-0.6249412	Yes	
row_54	ENSG00000117643	19819	-0.9812905788421631	-0.62449026	Yes	
row_55	ENSG00000175048	19942	-1.0070048570632935	-0.62085986	Yes	
row_56	ENSG00000127249	20069	-1.0306282043457031	-0.6171951	Yes	
row_57	ENSG00000141150	20146	-1.045487642288208	-0.6111634	Yes	
row_58	ENSG00000158457	20149	-1.0463578701019287	-0.60181886	Yes	
row_59	ENSG00000170837	20159	-1.0475999116897583	-0.5927758	Yes	
row_60	ENSG00000179218	20293	-1.0772202014923096	-0.5890036	Yes	
row_61	ENSG00000198830	20316	-1.0828723907470703	-0.58022314	Yes	
row_62	ENSG00000130513	20447	-1.1104525327682495	-0.5760174	Yes	
row_63	ENSG00000092621	20576	-1.1421189308166504	-0.57143676	Yes	
row_64	ENSG00000182704	20691	-1.1698944568634033	-0.5659805	Yes	
row_65	ENSG00000114757	20820	-1.206058144569397	-0.56082344	Yes	
row_66	ENSG00000114948	20841	-1.2099355459213257	-0.550808	Yes	
row_67	ENSG00000134824	20936	-1.2318735122680664	-0.5438997	Yes	
row_68	ENSG00000070669	21169	-1.3044317960739136	-0.5425005	Yes	
row_69	ENSG00000171798	21224	-1.3245365619659424	-0.5329703	Yes	
row_70	ENSG00000123983	21242	-1.3306466341018677	-0.5217326	Yes	
row_71	ENSG00000138792	21245	-1.3320837020874023	-0.50981206	Yes	
row_72	ENSG00000165449	21379	-1.3825225830078125	-0.5032873	Yes	
row_73	ENSG00000169174	21661	-1.503401517868042	-0.50228256	Yes	
row_74	ENSG00000211584	21728	-1.543432354927063	-0.4913148	Yes	
row_75	ENSG00000133134	21820	-1.5881495475769043	-0.4810604	Yes	
row_76	ENSG00000100600	21846	-1.6027603149414062	-0.46772665	Yes	
row_77	ENSG00000144908	21877	-1.6218267679214478	-0.45444432	Yes	
